SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2020160N10133,NURI,2020,2020-06-09,2020-06-15,5
2020195N17125,UNNAMED,2020,2020-07-11,2020-07-14,2
2020211N14124,SINLAKU,2020,2020-07-28,2020-08-04,6
2020213N15131,HAGUPIT,2020,2020-08-01,2020-08-04,1
2020222N15117,MEKKHALA,2020,2020-08-07,2020-08-12,3
2020229N18123,HIGOS,2020,2020-08-15,2020-08-20,4
2020234N19123,BAVI,2020,2020-08-19,2020-08-23,2
2020258N11127,NOUL,2020,2020-09-13,2020-09-20,5
2020281N14126,LINFA,2020,2020-10-06,2020-10-13,6
2020285N17120,NANGKA,2020,2020-10-10,2020-10-15,4
2020288N13124,UNNAMED,2020,2020-10-13,2020-10-17,3
2020291N06141,SAUDEL,2020,2020-10-19,2020-10-27,7
2020296N09137,MOLAVE,2020,2020-10-24,2020-10-30,5
2020299N11144,GONI,2020,2020-10-30,2020-11-07,6
2020303N05149,ATSANI,2020,2020-11-04,2020-11-08,3
2020312N10131,ETAU,2020,2020-11-06,2020-11-12,4
2020313N08135,VAMCO,2020,2020-11-10,2020-11-17,6
2020353N06129,KROVANH,2020,2020-12-17,2020-12-25,7
2021046N06142,DUJUAN,2021,2021-02-21,2021-02-24,2
2021102N06144,SURIGAE,2021,2021-04-20,2021-04-23,1
2021132N06132,UNNAMED,2021,2021-05-13,2021-05-16,1
2021148N05142,CHOI-WAN,2021,2021-05-31,2021-06-06,4
2021161N18115,KOGUMA,2021,2021-06-09,2021-06-14,4
2021185N13121,UNNAMED,2021,2021-07-02,2021-07-09,5
2021186N16129,UNNAMED,2021,2021-07-04,2021-07-07,2
2021198N19117,CEMPAKA,2021,2021-07-16,2021-07-26,9
2021197N17135,IN-FA,2021,2021-07-22,2021-07-24,1
2021214N21110,LUPIT,2021,2021-08-01,2021-08-08,5
2021215N24124,MIRINAE,2021,2021-08-02,2021-08-04,1
2021248N11131,CONSON,2021,2021-09-05,2021-09-14,7
2021248N12141,CHANTHU,2021,2021-09-08,2021-09-13,3
2021264N13119,DIANMU,2021,2021-09-20,2021-09-26,5
2021276N07131,LIONROCK,2021,2021-10-03,2021-10-11,7
2021280N14137,KOMPASU,2021,2021-10-10,2021-10-15,4
2021296N06127,UNNAMED,2021,2021-10-21,2021-10-28,5
2021349N05108,UNNAMED,2021,2021-12-14,2021-12-18,3
2021346N05145,RAI,2021,2021-12-15,2021-12-22,6
2022088N09116,UNNAMED,2022,2022-03-28,2022-04-02,4
2022099N11128,MEGI,2022,2022-04-09,2022-04-13,2
2022180N15117,CHABA,2022,2022-06-27,2022-07-04,5
2022215N21118,UNNAMED,2022,2022-08-02,2022-08-05,2
2022220N16110,MULAN,2022,2022-08-07,2022-08-12,4
2022232N18131,MA-ON,2022,2022-08-20,2022-08-27,5
2022239N22150,HINNAMNOR,2022,2022-09-01,2022-09-04,2
2022247N26147,MUIFA,2022,2022-09-09,2022-09-13,2
2022264N17132,NORU,2022,2022-09-23,2022-09-30,5
2022285N12116,SONCA,2022,2022-10-11,2022-10-16,4
2022285N17140,NESAT,2022,2022-10-14,2022-10-21,6
2022292N21132,UNNAMED,2022,2022-10-20,2022-10-24,3
2022299N11134,NALGAE,2022,2022-10-27,2022-11-04,6
2022342N06133,PAKHAR,2022,2022-12-08,2022-12-11,1
2023101N14127,UNNAMED,2023,2023-04-10,2023-04-14,2
2023138N05151,MAWAR,2023,2023-05-29,2023-05-31,1
2023194N16123,TALIM,2023,2023-07-12,2023-07-20,7
2023201N13134,DOKSURI,2023,2023-07-23,2023-07-29,4
2023234N18128,SAOLA,2023,2023-08-23,2023-09-05,12
2023239N18144,HAIKUI,2023,2023-09-01,2023-09-11,9
2023266N16116,UNNAMED,2023,2023-09-22,2023-09-27,4
2023271N14144,KOINU,2023,2023-10-02,2023-10-11,7
2023289N15111,SANBA,2023,2023-10-14,2023-10-22,6
2024141N03142,EWINIAR,2024,2024-05-23,2024-05-28,4
2024151N18113,MALIKSI,2024,2024-05-29,2024-06-03,4
2024195N13114,UNNAMED,2024,2024-07-12,2024-07-16,3
2024198N08130,PRAPIROON,2024,2024-07-16,2024-07-26,8
2024201N12133,GAEMI,2024,2024-07-22,2024-07-25,2
2024244N09137,YAGI,2024,2024-08-31,2024-09-10,9
2024259N17126,SOULIK,2024,2024-09-15,2024-09-21,5
2024264N20128,UNNAMED,2024,2024-09-19,2024-09-23,2
2024270N24128,KRATHON,2024,2024-09-27,2024-10-04,6
